{u'Zeit udp2mqtt': u'47.77636', u'Topic Change': u'47.77953', 'Log Zeit': '16:03:47.782666', u'Messwert': u"b'157'"}
{u'Zeit udp2mqtt': u'47.80885', u'Topic Change': u'47.81179', 'Log Zeit': '16:03:47.814644', u'Messwert': u"b'156'"}
{u'Zeit udp2mqtt': u'47.84133', u'Topic Change': u'47.84434', 'Log Zeit': '16:03:47.848514', u'Messwert': u"b'155'"}
{u'Zeit udp2mqtt': u'47.87385', u'Topic Change': u'47.87703', 'Log Zeit': '16:03:47.880221', u'Messwert': u"b'154'"}
{u'Zeit udp2mqtt': u'47.90635', u'Topic Change': u'47.90976', 'Log Zeit': '16:03:47.912695', u'Messwert': u"b'153'"}
{u'Zeit udp2mqtt': u'47.93889', u'Topic Change': u'47.94280', 'Log Zeit': '16:03:47.947134', u'Messwert': u"b'152'"}
{u'Zeit udp2mqtt': u'47.97146', u'Topic Change': u'47.97607', 'Log Zeit': '16:03:47.979703', u'Messwert': u"b'151'"}
{u'Zeit udp2mqtt': u'48.00442', u'Topic Change': u'48.00837', 'Log Zeit': '16:03:48.012258', u'Messwert': u"b'150'"}
{u'Zeit udp2mqtt': u'48.03695', u'Topic Change': u'48.04053', 'Log Zeit': '16:03:48.044563', u'Messwert': u"b'149'"}
{u'Zeit udp2mqtt': u'48.06963', u'Topic Change': u'48.07309', 'Log Zeit': '16:03:48.076282', u'Messwert': u"b'148'"}
{u'Zeit udp2mqtt': u'48.10228', u'Topic Change': u'48.10600', 'Log Zeit': '16:03:48.109026', u'Messwert': u"b'147'"}
{u'Zeit udp2mqtt': u'48.13470', u'Topic Change': u'48.13787', 'Log Zeit': '16:03:48.140689', u'Messwert': u"b'146'"}
{u'Zeit udp2mqtt': u'48.16713', u'Topic Change': u'48.17016', 'Log Zeit': '16:03:48.172914', u'Messwert': u"b'145'"}
{u'Zeit udp2mqtt': u'48.19956', u'Topic Change': u'48.20245', 'Log Zeit': '16:03:48.205363', u'Messwert': u"b'144'"}
{u'Zeit udp2mqtt': u'48.23206', u'Topic Change': u'48.23480', 'Log Zeit': '16:03:48.237846', u'Messwert': u"b'143'"}
{u'Zeit udp2mqtt': u'48.26455', u'Topic Change': u'48.26749', 'Log Zeit': '16:03:48.270246', u'Messwert': u"b'142'"}
{u'Zeit udp2mqtt': u'48.29711', u'Topic Change': u'48.29994', 'Log Zeit': '16:03:48.302676', u'Messwert': u"b'141'"}
{u'Zeit udp2mqtt': u'48.32961', u'Topic Change': u'48.33266', 'Log Zeit': '16:03:48.335306', u'Messwert': u"b'140'"}
{u'Zeit udp2mqtt': u'48.36406', u'Topic Change': u'48.36757', 'Log Zeit': '16:03:48.371082', u'Messwert': u"b'139'"}
{u'Zeit udp2mqtt': u'48.39462', u'Topic Change': u'48.40183', 'Log Zeit': '16:03:48.406026', u'Messwert': u"b'138'"}
{u'Zeit udp2mqtt': u'48.42709', u'Topic Change': u'48.43072', 'Log Zeit': '16:03:48.435122', u'Messwert': u"b'137'"}
{u'Zeit udp2mqtt': u'48.45961', u'Topic Change': u'48.46306', 'Log Zeit': '16:03:48.467620', u'Messwert': u"b'136'"}
{u'Zeit udp2mqtt': u'48.49252', u'Topic Change': u'48.49616', 'Log Zeit': '16:03:48.500378', u'Messwert': u"b'135'"}
{u'Zeit udp2mqtt': u'48.52527', u'Topic Change': u'48.52876', 'Log Zeit': '16:03:48.532989', u'Messwert': u"b'134'"}
{u'Zeit udp2mqtt': u'48.55781', u'Topic Change': u'48.56120', 'Log Zeit': '16:03:48.564421', u'Messwert': u"b'133'"}
{u'Zeit udp2mqtt': u'48.59075', u'Topic Change': u'48.59373', 'Log Zeit': '16:03:48.596664', u'Messwert': u"b'132'"}
{u'Zeit udp2mqtt': u'48.62316', u'Topic Change': u'48.62620', 'Log Zeit': '16:03:48.629034', u'Messwert': u"b'131'"}
{u'Zeit udp2mqtt': u'48.65566', u'Topic Change': u'48.65853', 'Log Zeit': '16:03:48.661396', u'Messwert': u"b'130'"}
{u'Zeit udp2mqtt': u'48.68825', u'Topic Change': u'48.69111', 'Log Zeit': '16:03:48.693922', u'Messwert': u"b'129'"}
{u'Zeit udp2mqtt': u'48.72078', u'Topic Change': u'48.72366', 'Log Zeit': '16:03:48.726632', u'Messwert': u"b'128'"}
{u'Zeit udp2mqtt': u'48.75332', u'Topic Change': u'48.75745', 'Log Zeit': '16:03:48.760834', u'Messwert': u"b'127'"}
{u'Zeit udp2mqtt': u'48.78592', u'Topic Change': u'48.78906', 'Log Zeit': '16:03:48.791977', u'Messwert': u"b'126'"}
{u'Zeit udp2mqtt': u'48.81838', u'Topic Change': u'48.82134', 'Log Zeit': '16:03:48.824257', u'Messwert': u"b'125'"}
{u'Zeit udp2mqtt': u'48.85078', u'Topic Change': u'48.85374', 'Log Zeit': '16:03:48.856804', u'Messwert': u"b'124'"}
{u'Zeit udp2mqtt': u'48.88327', u'Topic Change': u'48.88615', 'Log Zeit': '16:03:48.889125', u'Messwert': u"b'123'"}
{u'Zeit udp2mqtt': u'48.91581', u'Topic Change': u'48.91859', 'Log Zeit': '16:03:48.921558', u'Messwert': u"b'122'"}
{u'Zeit udp2mqtt': u'48.94835', u'Topic Change': u'48.95113', 'Log Zeit': '16:03:48.954029', u'Messwert': u"b'121'"}
{u'Zeit udp2mqtt': u'48.98085', u'Topic Change': u'48.98355', 'Log Zeit': '16:03:48.986535', u'Messwert': u"b'120'"}
{u'Zeit udp2mqtt': u'49.01335', u'Topic Change': u'49.01628', 'Log Zeit': '16:03:49.020597', u'Messwert': u"b'119'"}
{u'Zeit udp2mqtt': u'49.04597', u'Topic Change': u'49.04873', 'Log Zeit': '16:03:49.051650', u'Messwert': u"b'118'"}
{u'Zeit udp2mqtt': u'49.07845', u'Topic Change': u'49.08141', 'Log Zeit': '16:03:49.084841', u'Messwert': u"b'117'"}
{u'Zeit udp2mqtt': u'49.11095', u'Topic Change': u'49.11490', 'Log Zeit': '16:03:49.119428', u'Messwert': u"b'116'"}
{u'Zeit udp2mqtt': u'49.14351', u'Topic Change': u'49.14769', 'Log Zeit': '16:03:49.151442', u'Messwert': u"b'115'"}
{u'Zeit udp2mqtt': u'49.17656', u'Topic Change': u'49.17992', 'Log Zeit': '16:03:49.183956', u'Messwert': u"b'114'"}
{u'Zeit udp2mqtt': u'49.20907', u'Topic Change': u'49.21267', 'Log Zeit': '16:03:49.216474', u'Messwert': u"b'113'"}
{u'Zeit udp2mqtt': u'49.24177', u'Topic Change': u'49.24506', 'Log Zeit': '16:03:49.248427', u'Messwert': u"b'112'"}
{u'Zeit udp2mqtt': u'49.27444', u'Topic Change': u'49.27785', 'Log Zeit': '16:03:49.280694', u'Messwert': u"b'111'"}
{u'Zeit udp2mqtt': u'49.30691', u'Topic Change': u'49.30978', 'Log Zeit': '16:03:49.312553', u'Messwert': u"b'110'"}
{u'Zeit udp2mqtt': u'49.33941', u'Topic Change': u'49.34227', 'Log Zeit': '16:03:49.345041', u'Messwert': u"b'109'"}
